Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,7,Undirected,1,-,,1,-,0
0,10,Undirected,2,-,,1,-,0
0,14,Undirected,3,+,,1,+,0
0,26,Undirected,4,-,,1,-,0
0,29,Undirected,5,-,,1,-,0
1,13,Undirected,6,+,,1,+,0
1,15,Undirected,7,-,,1,-,0
1,21,Undirected,8,-,,1,-,0
1,27,Undirected,9,+,,1,+,0
2,7,Undirected,10,-,,1,-,0
2,18,Undirected,11,+,,1,+,0
2,21,Undirected,12,-,,1,-,0
2,26,Undirected,13,-,,1,-,0
3,8,Undirected,14,-,,1,-,0
3,12,Undirected,15,+,,1,+,0
3,23,Undirected,16,-,,1,-,0
3,28,Undirected,17,+,,1,+,0
4,8,Undirected,18,+,,1,+,0
4,13,Undirected,19,-,,1,-,0
5,11,Undirected,20,+,,1,+,0
5,16,Undirected,21,-,,1,-,0
5,19,Undirected,22,-,,1,-,0
5,25,Undirected,23,-,,1,-,0
5,28,Undirected,24,+,,1,+,0
6,7,Undirected,25,-,,1,-,0
6,10,Undirected,26,-,,1,-,0
6,14,Undirected,27,+,,1,+,0
6,28,Undirected,28,+,,1,+,0
6,29,Undirected,29,-,,1,-,0
7,16,Undirected,30,+,,1,+,0
7,17,Undirected,31,-,,1,-,0
7,20,Undirected,32,+,,1,+,0
7,22,Undirected,33,-,,1,-,0
8,9,Undirected,34,-,,1,-,0
8,11,Undirected,35,-,,1,-,0
8,22,Undirected,36,-,,1,-,0
8,29,Undirected,37,+,,1,+,0
9,10,Undirected,38,-,,1,-,0
9,12,Undirected,39,+,,1,+,0
9,18,Undirected,40,+,,1,+,0
9,20,Undirected,41,-,,1,-,0
9,23,Undirected,42,-,,1,-,0
9,29,Undirected,43,-,,1,-,0
10,12,Undirected,44,-,,1,-,0
10,18,Undirected,45,-,,1,-,0
10,26,Undirected,46,+,,1,+,0
11,14,Undirected,47,+,,1,+,0
11,15,Undirected,48,-,,1,-,0
11,17,Undirected,49,+,,1,+,0
11,18,Undirected,50,+,,1,+,0
11,19,Undirected,51,-,,1,-,0
11,20,Undirected,52,-,,1,-,0
11,27,Undirected,53,+,,1,+,0
12,15,Undirected,54,-,,1,-,0
12,19,Undirected,55,-,,1,-,0
12,20,Undirected,56,-,,1,-,0
12,24,Undirected,57,+,,1,+,0
13,17,Undirected,58,+,,1,+,0
13,21,Undirected,59,-,,1,-,0
13,23,Undirected,60,-,,1,-,0
13,26,Undirected,61,-,,1,-,0
13,27,Undirected,62,+,,1,+,0
14,22,Undirected,63,+,,1,+,0
14,24,Undirected,64,+,,1,+,0
14,26,Undirected,65,-,,1,-,0
15,17,Undirected,66,-,,1,-,0
15,26,Undirected,67,+,,1,+,0
16,17,Undirected,68,-,,1,-,0
16,21,Undirected,69,+,,1,+,0
16,27,Undirected,70,-,,1,-,0
16,29,Undirected,71,+,,1,+,0
17,24,Undirected,72,+,,1,+,0
17,28,Undirected,73,+,,1,+,0
18,24,Undirected,74,+,,1,+,0
19,24,Undirected,75,-,,1,-,0
19,25,Undirected,76,+,,1,+,0
19,28,Undirected,77,-,,1,-,0
19,29,Undirected,78,+,,1,+,0
20,22,Undirected,79,-,,1,-,0
20,25,Undirected,80,+,,1,+,0
20,27,Undirected,81,-,,1,-,0
20,29,Undirected,82,+,,1,+,0
22,28,Undirected,83,+,,1,+,0
23,25,Undirected,84,+,,1,+,0
24,27,Undirected,85,+,,1,+,0
26,27,Undirected,86,-,,1,-,0
26,29,Undirected,87,+,,1,+,0
