Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,1,Undirected,1,+,,1,+,0
0,7,Undirected,2,+,,1,+,0
0,13,Undirected,3,-,,1,-,0
0,20,Undirected,4,-,,1,-,0
0,23,Undirected,5,-,,1,-,0
0,28,Undirected,6,-,,1,-,0
1,8,Undirected,7,-,,1,-,0
1,11,Undirected,8,-,,1,-,0
1,16,Undirected,9,-,,1,-,0
1,21,Undirected,10,-,,1,-,0
1,29,Undirected,11,+,,1,+,0
2,15,Undirected,12,+,,1,+,0
2,19,Undirected,13,-,,1,-,0
2,20,Undirected,14,-,,1,-,0
2,22,Undirected,15,-,,1,-,0
2,24,Undirected,16,+,,1,+,0
2,29,Undirected,17,+,,1,+,0
3,6,Undirected,18,-,,1,-,0
3,8,Undirected,19,-,,1,-,0
3,18,Undirected,20,-,,1,-,0
3,24,Undirected,21,-,,1,-,0
3,26,Undirected,22,+,,1,+,0
4,5,Undirected,23,-,,1,-,0
4,7,Undirected,24,+,,1,+,0
4,24,Undirected,25,-,,1,-,0
4,28,Undirected,26,-,,1,-,0
4,29,Undirected,27,-,,1,-,0
5,6,Undirected,28,-,,1,-,0
5,11,Undirected,29,-,,1,-,0
5,15,Undirected,30,-,,1,-,0
5,18,Undirected,31,-,,1,-,0
5,23,Undirected,32,-,,1,-,0
5,26,Undirected,33,+,,1,+,0
6,7,Undirected,34,-,,1,-,0
6,17,Undirected,35,-,,1,-,0
6,18,Undirected,36,+,,1,+,0
7,11,Undirected,37,-,,1,-,0
7,14,Undirected,38,+,,1,+,0
7,27,Undirected,39,-,,1,-,0
8,23,Undirected,40,+,,1,+,0
9,13,Undirected,41,+,,1,+,0
9,14,Undirected,42,-,,1,-,0
9,19,Undirected,43,-,,1,-,0
9,23,Undirected,44,-,,1,-,0
10,11,Undirected,45,-,,1,-,0
10,13,Undirected,46,-,,1,-,0
10,14,Undirected,47,-,,1,-,0
10,16,Undirected,48,+,,1,+,0
10,23,Undirected,49,-,,1,-,0
10,26,Undirected,50,+,,1,+,0
10,28,Undirected,51,-,,1,-,0
11,15,Undirected,52,-,,1,-,0
11,18,Undirected,53,-,,1,-,0
12,16,Undirected,54,-,,1,-,0
12,18,Undirected,55,-,,1,-,0
12,21,Undirected,56,-,,1,-,0
12,23,Undirected,57,+,,1,+,0
12,25,Undirected,58,-,,1,-,0
13,16,Undirected,59,-,,1,-,0
13,18,Undirected,60,+,,1,+,0
13,20,Undirected,61,-,,1,-,0
13,23,Undirected,62,+,,1,+,0
13,25,Undirected,63,-,,1,-,0
13,27,Undirected,64,-,,1,-,0
13,28,Undirected,65,+,,1,+,0
14,15,Undirected,66,+,,1,+,0
14,16,Undirected,67,-,,1,-,0
14,25,Undirected,68,-,,1,-,0
15,29,Undirected,69,+,,1,+,0
16,17,Undirected,70,-,,1,-,0
16,20,Undirected,71,-,,1,-,0
16,28,Undirected,72,-,,1,-,0
17,23,Undirected,73,-,,1,-,0
17,25,Undirected,74,+,,1,+,0
18,24,Undirected,75,-,,1,-,0
18,28,Undirected,76,-,,1,-,0
19,27,Undirected,77,-,,1,-,0
20,29,Undirected,78,-,,1,-,0
21,22,Undirected,79,+,,1,+,0
21,29,Undirected,80,-,,1,-,0
22,24,Undirected,81,-,,1,-,0
22,27,Undirected,82,-,,1,-,0
22,28,Undirected,83,+,,1,+,0
23,24,Undirected,84,-,,1,-,0
23,26,Undirected,85,-,,1,-,0
27,28,Undirected,86,-,,1,-,0
28,29,Undirected,87,-,,1,-,0
