Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,1,Undirected,1,-,,1,-,0
0,2,Undirected,2,+,,1,+,0
0,3,Undirected,3,-,,1,-,0
0,4,Undirected,4,+,,1,+,0
0,5,Undirected,5,-,,1,-,0
0,6,Undirected,6,-,,1,-,0
0,7,Undirected,7,+,,1,+,0
0,9,Undirected,8,-,,1,-,0
0,10,Undirected,9,+,,1,+,0
0,11,Undirected,10,+,,1,+,0
0,12,Undirected,11,-,,1,-,0
0,13,Undirected,12,-,,1,-,0
0,14,Undirected,13,-,,1,-,0
0,15,Undirected,14,+,,1,+,0
0,16,Undirected,15,+,,1,+,0
0,17,Undirected,16,-,,1,-,0
0,19,Undirected,17,-,,1,-,0
0,20,Undirected,18,+,,1,+,0
0,22,Undirected,19,-,,1,-,0
0,23,Undirected,20,+,,1,+,0
0,24,Undirected,21,+,,1,+,0
0,25,Undirected,22,-,,1,-,0
0,26,Undirected,23,+,,1,+,0
0,27,Undirected,24,+,,1,+,0
0,29,Undirected,25,+,,1,+,0
1,2,Undirected,26,-,,1,-,0
1,3,Undirected,27,+,,1,+,0
1,4,Undirected,28,-,,1,-,0
1,5,Undirected,29,+,,1,+,0
1,6,Undirected,30,+,,1,+,0
1,7,Undirected,31,-,,1,-,0
1,8,Undirected,32,-,,1,-,0
1,10,Undirected,33,-,,1,-,0
1,11,Undirected,34,-,,1,-,0
1,12,Undirected,35,+,,1,+,0
1,14,Undirected,36,+,,1,+,0
1,15,Undirected,37,-,,1,-,0
1,16,Undirected,38,-,,1,-,0
1,17,Undirected,39,+,,1,+,0
1,18,Undirected,40,-,,1,-,0
1,19,Undirected,41,+,,1,+,0
1,20,Undirected,42,-,,1,-,0
1,22,Undirected,43,+,,1,+,0
1,23,Undirected,44,-,,1,-,0
1,25,Undirected,45,+,,1,+,0
1,26,Undirected,46,-,,1,-,0
1,27,Undirected,47,-,,1,-,0
1,28,Undirected,48,-,,1,-,0
2,3,Undirected,49,-,,1,-,0
2,4,Undirected,50,+,,1,+,0
2,5,Undirected,51,-,,1,-,0
2,6,Undirected,52,-,,1,-,0
