Source,Target,Type,Id,Label,timeset,Weight,Sign
2,6,Undirected,0,+,,1,+
0,1,Undirected,1,-,,1,-
0,2,Undirected,2,+,,1,+
0,3,Undirected,3,-,,1,-
0,4,Undirected,4,+,,1,+
0,5,Undirected,5,-,,1,-
0,6,Undirected,6,+,,1,+
5,6,Undirected,7,-,,1,-
3,4,Undirected,8,-,,1,-
3,5,Undirected,9,+,,1,+
3,6,Undirected,10,-,,1,-
1,2,Undirected,11,-,,1,-
1,3,Undirected,12,+,,1,+
1,4,Undirected,13,-,,1,-
1,5,Undirected,14,+,,1,+
1,6,Undirected,15,-,,1,-
4,5,Undirected,16,-,,1,-
4,6,Undirected,17,+,,1,+
2,3,Undirected,18,-,,1,-
2,4,Undirected,19,+,,1,+
2,5,Undirected,20,-,,1,-a
