Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,6,Undirected,1,-,,1,-,0
0,8,Undirected,2,-,,1,-,0
0,9,Undirected,3,+,,1,+,0
0,10,Undirected,4,+,,1,+,0
0,14,Undirected,5,-,,1,-,0
0,18,Undirected,6,-,,1,-,0
0,21,Undirected,7,-,,1,-,0
0,23,Undirected,8,+,,1,+,0
0,24,Undirected,9,-,,1,-,0
1,8,Undirected,10,-,,1,-,0
1,9,Undirected,11,+,,1,+,0
1,10,Undirected,12,+,,1,+,0
1,11,Undirected,13,+,,1,+,0
1,15,Undirected,14,+,,1,+,0
2,8,Undirected,15,-,,1,-,0
2,10,Undirected,16,+,,1,+,0
2,14,Undirected,17,-,,1,-,0
2,15,Undirected,18,+,,1,+,0
2,16,Undirected,19,+,,1,+,0
2,17,Undirected,20,-,,1,-,0
2,22,Undirected,21,+,,1,+,0
3,4,Undirected,22,-,,1,-,0
3,7,Undirected,23,+,,1,+,0
3,10,Undirected,24,-,,1,-,0
3,15,Undirected,25,-,,1,-,0
3,23,Undirected,26,-,,1,-,0
4,5,Undirected,27,+,,1,+,0
4,7,Undirected,28,-,,1,-,0
4,12,Undirected,29,+,,1,+,0
4,13,Undirected,30,+,,1,+,0
4,14,Undirected,31,-,,1,-,0
4,16,Undirected,32,+,,1,+,0
4,20,Undirected,33,-,,1,-,0
4,25,Undirected,34,-,,1,-,0
5,6,Undirected,35,-,,1,-,0
5,13,Undirected,36,+,,1,+,0
5,18,Undirected,37,-,,1,-,0
5,19,Undirected,38,+,,1,+,0
5,21,Undirected,39,-,,1,-,0
5,24,Undirected,40,-,,1,-,0
6,7,Undirected,41,+,,1,+,0
6,11,Undirected,42,-,,1,-,0
6,17,Undirected,43,+,,1,+,0
7,13,Undirected,44,-,,1,-,0
7,17,Undirected,45,+,,1,+,0
7,19,Undirected,46,-,,1,-,0
7,20,Undirected,47,+,,1,+,0
7,27,Undirected,48,+,,1,+,0
8,12,Undirected,49,-,,1,-,0
8,22,Undirected,50,-,,1,-,0
8,25,Undirected,51,+,,1,+,0
9,10,Undirected,52,+,,1,+,0
9,13,Undirected,53,+,,1,+,0
9,18,Undirected,54,-,,1,-,0
9,20,Undirected,55,-,,1,-,0
9,25,Undirected,56,-,,1,-,0
9,28,Undirected,57,+,,1,+,0
9,29,Undirected,58,+,,1,+,0
10,12,Undirected,59,+,,1,+,0
10,15,Undirected,60,+,,1,+,0
10,17,Undirected,61,-,,1,-,0
10,21,Undirected,62,-,,1,-,0
10,24,Undirected,63,-,,1,-,0
11,21,Undirected,64,-,,1,-,0
11,22,Undirected,65,+,,1,+,0
12,19,Undirected,66,+,,1,+,0
12,21,Undirected,67,-,,1,-,0
12,22,Undirected,68,+,,1,+,0
12,25,Undirected,69,-,,1,-,0
12,29,Undirected,70,+,,1,+,0
13,16,Undirected,71,+,,1,+,0
13,24,Undirected,72,-,,1,-,0
13,25,Undirected,73,-,,1,-,0
13,26,Undirected,74,-,,1,-,0
14,18,Undirected,75,+,,1,+,0
14,20,Undirected,76,+,,1,+,0
14,23,Undirected,77,-,,1,-,0
15,28,Undirected,78,+,,1,+,0
16,18,Undirected,79,-,,1,-,0
16,22,Undirected,80,+,,1,+,0
17,21,Undirected,81,+,,1,+,0
17,22,Undirected,82,-,,1,-,0
19,25,Undirected,83,-,,1,-,0
20,24,Undirected,84,+,,1,+,0
21,26,Undirected,85,+,,1,+,0
22,24,Undirected,86,-,,1,-,0
28,29,Undirected,87,+,,1,+,0
