Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,9,Undirected,1,+,,1,+,0
0,11,Undirected,2,+,,1,+,0
0,13,Undirected,3,-,,1,-,0
0,14,Undirected,4,+,,1,+,0
0,21,Undirected,5,-,,1,-,0
0,23,Undirected,6,+,,1,+,0
0,25,Undirected,7,-,,1,-,0
1,2,Undirected,8,+,,1,+,0
1,4,Undirected,9,-,,1,-,0
1,6,Undirected,10,+,,1,+,0
1,7,Undirected,11,+,,1,+,0
1,14,Undirected,12,-,,1,-,0
1,21,Undirected,13,+,,1,+,0
2,7,Undirected,14,+,,1,+,0
2,10,Undirected,15,-,,1,-,0
2,14,Undirected,16,+,,1,+,0
2,24,Undirected,17,+,,1,+,0
2,28,Undirected,18,-,,1,-,0
2,29,Undirected,19,-,,1,-,0
3,11,Undirected,20,+,,1,+,0
3,23,Undirected,21,-,,1,-,0
3,24,Undirected,22,+,,1,+,0
3,27,Undirected,23,-,,1,-,0
4,8,Undirected,24,+,,1,+,0
4,12,Undirected,25,-,,1,-,0
4,13,Undirected,26,+,,1,+,0
4,20,Undirected,27,-,,1,-,0
4,21,Undirected,28,-,,1,-,0
4,23,Undirected,29,+,,1,+,0
4,26,Undirected,30,+,,1,+,0
4,28,Undirected,31,-,,1,-,0
4,29,Undirected,32,+,,1,+,0
5,22,Undirected,33,-,,1,-,0
5,23,Undirected,34,+,,1,+,0
5,26,Undirected,35,-,,1,-,0
6,10,Undirected,36,+,,1,+,0
6,16,Undirected,37,+,,1,+,0
6,17,Undirected,38,-,,1,-,0
6,26,Undirected,39,-,,1,-,0
6,28,Undirected,40,+,,1,+,0
7,21,Undirected,41,-,,1,-,0
7,24,Undirected,42,-,,1,-,0
7,25,Undirected,43,-,,1,-,0
8,15,Undirected,44,+,,1,+,0
8,23,Undirected,45,-,,1,-,0
8,26,Undirected,46,-,,1,-,0
8,29,Undirected,47,-,,1,-,0
9,27,Undirected,48,+,,1,+,0
10,15,Undirected,49,-,,1,-,0
10,16,Undirected,50,-,,1,-,0
10,18,Undirected,51,-,,1,-,0
10,23,Undirected,52,-,,1,-,0
10,25,Undirected,53,-,,1,-,0
11,21,Undirected,54,+,,1,+,0
11,22,Undirected,55,+,,1,+,0
11,27,Undirected,56,-,,1,-,0
12,16,Undirected,57,+,,1,+,0
12,17,Undirected,58,-,,1,-,0
12,20,Undirected,59,+,,1,+,0
12,22,Undirected,60,+,,1,+,0
12,27,Undirected,61,-,,1,-,0
13,29,Undirected,62,-,,1,-,0
15,20,Undirected,63,+,,1,+,0
15,25,Undirected,64,+,,1,+,0
16,20,Undirected,65,+,,1,+,0
16,25,Undirected,66,-,,1,-,0
16,29,Undirected,67,-,,1,-,0
17,20,Undirected,68,-,,1,-,0
17,26,Undirected,69,+,,1,+,0
17,27,Undirected,70,+,,1,+,0
17,28,Undirected,71,+,,1,+,0
18,19,Undirected,72,+,,1,+,0
18,24,Undirected,73,-,,1,-,0
18,29,Undirected,74,-,,1,-,0
19,21,Undirected,75,-,,1,-,0
20,22,Undirected,76,-,,1,-,0
20,24,Undirected,77,+,,1,+,0
20,26,Undirected,78,+,,1,+,0
20,27,Undirected,79,+,,1,+,0
20,29,Undirected,80,-,,1,-,0
22,24,Undirected,81,+,,1,+,0
22,28,Undirected,82,-,,1,-,0
23,24,Undirected,83,-,,1,-,0
23,26,Undirected,84,-,,1,-,0
24,27,Undirected,85,+,,1,+,0
24,28,Undirected,86,+,,1,+,0
25,27,Undirected,87,+,,1,+,0
